word	valence	arousal
accordable	0.556	0.000
accordance	0.318	-0.302
accordant	0.611	-0.630
accordion	0.208	-0.020
accordionist	0.074	0.667
accost	-0.667	0.667
account	0.062	-0.306
accountability	0.510	0.074
accountable	0.418	-0.436
accountably	0.708	0.000
accountancy	0.222	-0.630
accountant	0.250	-0.100
accounting	0.104	-0.220
accounts	0.184	-0.320
accoutrement	0.111	-0.074
accredit	0.750	0.417
accreditation	0.708	-0.667
accredited	0.338	-0.042
accretion	-0.104	0.038
accrual	0.667	0.667
accrue	0.040	-0.038
accruement	0.667	-0.167
accueil	-0.100	-0.098
accumulate	0.146	0.072
accumulation	-0.042	0.054
accumulative	0.292	-0.524
accumulatively	0.000	0.667
accumulativeness	0.611	0.630
accumulator	0.000	0.481
accuracy	0.208	-0.038
accurate	0.486	-0.280
accurately	0.667	0.167
accurateness	0.667	-0.875
accurse	-1.000	0.667
accursed	-0.730	0.490
accursedly	-1.000	0.148
accursedness	-1.000	-0.524
accusable	-0.667	0.222
accusation	-0.854	0.436
accusative	-0.604	0.510
accusatively	-0.619	0.667
accusatorial	-0.667	0.667
accusatorially	-0.667	0.630
accusatory	-0.667	0.667
accuse	-0.734	0.504
accused	-0.740	0.340
accuser	-0.756	0.558
accusing	-0.688	0.490
accustom	0.042	-0.467
accustomed	0.084	-0.270
ace	0.286	-0.038
acerbate	-1.000	0.667
acerbic	-0.667	0.000
acetaminophen	0.333	-0.333
acetate	0.000	-0.667
acetic	-0.334	-0.160
acetone	-0.238	0.000
acetyl	0.000	0.000
acetylene	-0.388	-0.062
ache	-0.708	0.520
achievable	1.000	-0.185
achieve	0.632	0.090
achieved	0.792	0.038
achievement	0.792	0.616
achiever	0.905	0.667
achiness	-0.714	-0.259
aching	-0.894	0.760
achromatic	0.000	-0.556
achy	-0.666	0.680
acid	-0.470	0.284
acidic	-0.667	0.000
acidification	-0.667	0.190
acidifier	-0.333	0.417
acidify	-0.667	0.583
acidity	-0.688	0.326
acidize	-0.667	0.667
acidly	-0.619	0.000
acknowledge	0.572	-0.260
acknowledgeable	0.708	0.000
acknowledged	0.428	-0.114
acknowledgement	0.638	0.078
acknowledger	0.500	0.611
acknowledgment	0.592	0.056
acme	-0.184	-0.130
acne	-0.666	-0.052
acolyte	0.333	-0.167
acorn	-0.104	-0.604
acoustic	0.084	-0.076
acoustical	0.000	-0.481
acoustically	0.000	0.000
acoustician	0.000	0.190
acoustics	0.222	-0.340
acquaint	0.292	-0.018
acquaintance	0.312	-0.420
acquaintanceship	0.333	-0.667
acquainted	0.812	-0.284
acquiesce	-0.095	-0.667
